Country,Colour
ZMB,1
TZN,1
EAK,1
COL,1
GHA,1
IND,1
PHL,1
GTM,1
IDN,0
BGD,1
IND,1
MWI,1
MWI,1
PAK,1
PAK,1
SEN,1
BOL,0
AGO,1
ZAF,1
EGY,1
IRQ,1
EGY,1
NGA,1
MDG,1
MMR,0
DZA,1
BLR,1
BEN,1
CPV,1
TCD,1
COG,1
CIV,1
COD,1
GAB,1
GIN,1
GNB,1
IRQ,1
JOR,1
JOR,1
LBR,1
MDG,1
MRT,1
MOZ,1
NGA,1
RWA,1
RWA,1
SYC,1
SDN,1
TZA,1
TZA,1
TGO,1
ZMB,1
BGD,1
KHM,1
IDN,1
MDV,1
MNG,1
MNG,1
MNG,1
PHL,1
THA,1
THA,1
TLS,1
VUT,1
VNM,1
ATG,1
ABW,1
BRB,1
VGB,1
BES,1
CUW,1
DMA,1
DOM,1
GRD,1
HND,1
JAM,1
MEX,1
MEX,1
MSR,1
PAN,1
PER,1
PER,1
KNA,1
VCT,1
SUR,1
TCA,1
CHL,0
LKA,2
UKR,2
POL,2
SGP,2
SAU,2
HKG,2
TUN,2
ROU,2
CAN,2
BRA,2
BGR,2
