date,exact,status,colour,country,code,continent,provider,reference 1,reference 2,reference 3
10/29/2014,Exact,Added,1,Tanzania,TZA,Africa,Airtel,https://info.internet.org/en/story/where-weve-launched/,https://info.internet.org/en/blog/2014/10/29/internet-org-app-launches-in-tanzania/,
3/17/2015,Exact,Added,1,Philippines,PHL,Asia,Globe,https://info.internet.org/en/story/where-weve-launched/,https://www.techinasia.com/facebook-internet-org-app-smart-philippines,
8/17/2016,Exact,Added,1,Madagascar,MDG,Africa,Orange,https://info.internet.org/en/story/where-weve-launched/,https://www.agenceecofin.com/reseaux-sociaux/1808-40165-facebook-flex-arrive-a-madagascar-avec-orange,
10/1/2015,Exact,Added,1,Thailand,THA,Asia,TrueMove,https://info.internet.org/en/story/where-weve-launched/,http://truemoveh.truecorp.co.th/freebasics/,
10/29/2014,Exact,Added,1,Tanzania,TZA,Africa,Vodacom,https://info.internet.org/en/story/where-weve-launched/,https://info.internet.org/en/blog/2014/10/29/internet-org-app-launches-in-tanzania/,
2/10/2015,Exact,Added,1,India,IND,Asia,Reliance Communications,https://en.wikipedia.org/wiki/Free_Basics#Participants,"6. ""Facebook Takes Internet.org And Its Free Mobile Data Services To India"". TechCrunch. 10 February 2015. https://techcrunch.com/2015/02/09/internet-org-india/",
3/18/2015,Exact,Added,1,Philippines,PHL,Asia,Smart Communications,https://en.wikipedia.org/wiki/Free_Basics#Participants,"7. ""Facebook and Smart's Talk 'N text bring basic Internet mobile service without the charge"". http://www.philstar.com/lifestyle-features/2015/03/18/1434997/facebook-and-smarts-talk-n-text-bring-basic-internet-mobile",
3/31/2015,Exact,Added,1,Guatemala,GTM,North America,Tigo,https://en.wikipedia.org/wiki/Free_Basics#Participants,"8. ""FACEBOOK LAUNCHES INTERNET.ORG IN GUATEMALA, MOVES TO NEW OFFICES IN CALIFORNIA"". 7 April 2015. http://techtrendske.co.ke/?p=4472",
4/20/2015,Exact,Added,1,Indonesia,IDN,Asia,Indosat,https://en.wikipedia.org/wiki/Free_Basics#Participants,"9. Russell, John (April 20, 2015). ""Under Fire In India, Facebook's Internet.org Launches In Indonesia"". TechCrunch. Retrieved May 8, 2015. https://techcrunch.com/2015/04/20/internet-dot-org-indonesia/",
5/10/2015,Exact,Added,1,Bangladesh,BGD,Asia,Robi,https://en.wikipedia.org/wiki/Free_Basics#Participants,"10. ""Internet.org to be launched today"". The Daily Star. 10 May 2015. Retrieved 10 May 2015. http://www.thedailystar.net/backpage/internetorg-be-launched-today-81422",
